IDcode,Age,Sex,Trial,Response,Stimulus,Confidence
4676165,67,1,1,0,16,1
4676165,67,1,2,0,8,2
4676165,67,1,3,1,56,3
4676165,67,1,4,1,32,3
4676165,67,1,5,0,48,3
4676165,67,1,6,0,-8,3
4676165,67,1,7,1,8,2
4676165,67,1,8,0,-24,2
4676165,67,1,9,1,40,2
4676165,67,1,10,1,72,2
4676165,67,1,11,0,40,3
4676165,67,1,12,1,32,2
4676165,67,1,13,0,72,1
4676165,67,1,14,0,-64,2
4676165,67,1,15,0,16,2
4676165,67,1,16,1,0,3
4676165,67,1,17,1,40,2
4676165,67,1,18,0,56,2
4676165,67,1,19,1,-56,2
4676165,67,1,20,1,64,2
4676165,67,1,21,0,24,2
4676165,67,1,22,0,-56,2
4676165,67,1,23,1,-64,1
4676165,67,1,24,0,-64,2
4676165,67,1,25,1,32,1
4676165,67,1,26,0,-16,2
4676165,67,1,27,0,-8,2
4676165,67,1,28,1,24,2
4676165,67,1,29,0,24,2
4676165,67,1,30,0,-40,2
4676165,67,1,31,0,-32,2
4676165,67,1,32,1,0,2
4676165,67,1,33,0,0,2
4676165,67,1,34,1,64,2
4676165,67,1,35,0,-72,2
4676165,67,1,36,0,8,1
4676165,67,1,37,0,-64,3
4676165,67,1,38,1,-16,2
4676165,67,1,39,0,-72,2
4676165,67,1,40,1,48,2
4676165,67,1,41,0,-56,3
4676165,67,1,42,1,-72,3
4676165,67,1,43,0,0,2
4676165,67,1,44,0,-40,2
4676165,67,1,45,1,56,2
4676165,67,1,46,0,-32,3
4676165,67,1,47,0,-40,3
4676165,67,1,48,1,72,3
4676165,67,1,49,1,48,3
4676165,67,1,50,0,-48,2
4676165,67,1,51,1,32,3
4676165,67,1,52,0,-48,3
4676165,67,1,53,1,-8,2
4676165,67,1,54,1,40,1
4676165,67,1,55,0,-16,2
4676165,67,1,56,1,64,4
4676165,67,1,57,1,-48,4
4676165,67,1,58,0,-56,4
4676165,67,1,59,1,56,4
4676165,67,1,60,0,-32,2
4676165,67,1,61,0,-48,2
4676165,67,1,62,0,-24,2
4676165,67,1,63,1,16,4
4676165,67,1,64,0,-72,1
4676165,67,1,65,0,-8,1
4676165,67,1,66,0,16,1
4676165,67,1,67,1,-32,2
4676165,67,1,68,1,48,2
4676165,67,1,69,1,64,4
4676165,67,1,70,1,72,2
4676165,67,1,71,0,-24,3
4676165,67,1,72,0,-40,2
4676165,67,1,73,0,8,1
4676165,67,1,74,0,-16,1
4676165,67,1,75,0,24,1
4676165,67,1,76,0,-24,1
4676165,67,1,77,1,56,4
4676165,67,1,78,1,48,4
4676165,67,1,79,0,40,1
4676165,67,1,80,0,-64,1
4676165,67,1,81,0,0,1
4676165,67,1,82,0,-48,2
4676165,67,1,83,0,-56,2
4676165,67,1,84,1,48,2
4676165,67,1,85,0,0,1
4676165,67,1,86,1,56,1
4676165,67,1,87,0,-56,3
4676165,67,1,88,0,-32,1
4676165,67,1,89,0,-48,2
4676165,67,1,90,0,-72,2
4676165,67,1,91,0,-16,2
4676165,67,1,92,1,-40,1
4676165,67,1,93,0,32,1
4676165,67,1,94,1,-16,1
4676165,67,1,95,0,-16,2
4676165,67,1,96,0,-72,1
4676165,67,1,97,0,32,1
