subj,Age,Sex,trial,resp,evidence,Confidence,criterion_fluctuations
944548,21,0,1,0,24,4,-0.6181436
944548,21,0,2,0,-24,4,-0.49198857
944548,21,0,3,1,32,4,-0.37726736
944548,21,0,4,1,16,3,-0.30838865
944548,21,0,5,0,40,3,-0.27837443
944548,21,0,6,1,48,4,-0.25625786
944548,21,0,7,0,-56,4,-0.23186427
944548,21,0,8,1,40,4,-0.15087901
944548,21,0,9,1,56,4,-0.11532275
944548,21,0,10,1,24,4,-0.07560503
944548,21,0,11,0,-48,4,-0.1101327
944548,21,0,12,0,16,4,-0.08042644
944548,21,0,13,1,-24,4,0.02132996
944548,21,0,15,1,24,3,0.02177299
944548,21,0,16,1,56,4,0.07702342
944548,21,0,18,1,8,3,0.07970871
944548,21,0,19,0,-48,4,0.02704243
944548,21,0,20,1,32,4,0.08360448
944548,21,0,21,1,64,4,0.01328316
944548,21,0,22,0,-32,4,-0.017806351
944548,21,0,23,0,-64,4,0.042652506
944548,21,0,24,0,-32,4,-0.017326225
944548,21,0,25,1,56,4,-0.086359926
944548,21,0,26,0,-64,4,-0.09979631
944548,21,0,27,1,48,4,-0.016976325
944548,21,0,28,0,16,4,0.027866278
944548,21,0,29,1,-16,5,0.14724109
944548,21,0,30,0,-56,4,0.20381379
944548,21,0,31,1,-48,2,0.28002673
944548,21,0,32,0,-32,4,0.2109612
944548,21,0,33,0,-64,4,0.22044422
944548,21,0,34,1,-16,3,0.25085127
944548,21,0,35,1,8,4,0.17904527
944548,21,0,36,1,16,3,0.14885731
944548,21,0,38,1,40,4,0.1118328
944548,21,0,39,1,64,5,0.03570281
944548,21,0,40,1,64,4,-0.02105556
944548,21,0,41,0,-8,4,-0.057589296
944548,21,0,42,1,48,4,-0.017845893
944548,21,0,43,0,-40,5,-0.08509621
944548,21,0,44,0,24,3,-0.056221686
944548,21,0,45,1,-16,3,0.07652857
944548,21,0,46,0,-48,4,0.06672677
944548,21,0,47,1,-8,4,0.03756749
944548,21,0,48,0,-8,4,-0.025767121
944548,21,0,49,1,56,4,-0.058360737
944548,21,0,50,0,-56,4,-0.024864087
944548,21,0,51,1,32,4,-0.05579007
944548,21,0,52,1,64,4,-0.031514436
944548,21,0,53,0,-40,4,-0.050891187
944548,21,0,54,0,-32,5,-0.0738237
944548,21,0,55,0,-56,4,-0.13237241
944548,21,0,56,0,-24,4,-0.04665734
944548,21,0,57,1,48,5,-0.08958125
944548,21,0,58,0,-64,5,-0.18361068
944548,21,0,60,0,-40,3,-0.20246157
944548,21,0,61,0,-16,4,-0.21894325
944548,21,0,62,1,8,4,-0.16858108
944548,21,0,63,0,-8,4,-0.13437125
944548,21,0,64,1,40,4,-0.082965635
944548,21,0,65,1,32,4,-0.08314759
944548,21,0,66,0,-40,4,-0.05782513
944548,21,0,67,1,8,4,-0.039053306
944548,21,0,68,0,-24,3,-0.11025026
944548,21,0,69,0,-32,4,-0.17641947
944548,21,0,70,1,8,4,-0.21008976
944548,21,0,71,1,32,4,-0.18709639
944548,21,0,72,0,-64,4,-0.32214847
944548,21,0,73,0,-48,4,-0.38128173
944548,21,0,74,0,40,4,-0.50150096
944548,21,0,75,0,24,4,-0.4330746
944548,21,0,76,0,-16,5,-0.42058504
944548,21,0,77,1,8,5,-0.36394757
944548,21,0,78,0,-48,5,-0.41643438
944548,21,0,80,0,-40,4,-0.41306397
944548,21,0,81,1,64,4,-0.43992227
944548,21,0,82,0,16,2,-0.4849679
944548,21,0,83,1,48,4,-0.4545459
944548,21,0,84,1,48,4,-0.3841659
944548,21,0,85,1,24,4,-0.24214226
944548,21,0,86,0,8,3,-0.2632047
944548,21,0,87,1,32,4,-0.18759227
944548,21,0,88,0,-56,4,-0.16710863
944548,21,0,89,0,-32,4,-0.18372057
944548,21,0,90,1,64,4,-0.23302062
944548,21,0,91,0,-64,5,-0.26803845
944548,21,0,92,0,-40,4,-0.15312944
