mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.24952053,0.44705984,0.5659831,0.9732098,0.035028283,-0.077492386,0.14584818,-0.10873529,1.0238442,1.0495477,0.9314583,0.00022998608,0.0029342289,9.053267e-05,5.7160232e-05,0.0017277601,0.001725045,0.0015071596,0.0008722805,0.0009580459,0.00079062337,0.22058515,0.2791545,0.34246415,0.56087536,0.46820176,0.6494025,0.9609262,0.99371046,0.023919271,0.05076564,-0.15587862,0.0040619597,0.06898848,0.2228835,-0.18602224,-0.035778347,0.96643245,1.0820291,0.9950599,1.1125076,0.8787845,0.98944646,0.9647053,0.02062427,-0.065978065,0.14390226,-0.11098997,0.99815166,1.0188278,0.9347312,210,663
0.2384948,0.366019,0.5562548,0.97091407,0.024585372,0.027262924,0.21814585,-0.07384857,1.0775765,1.0215536,0.97135025,0.00020237529,0.0015179394,2.4167612e-05,2.3126853e-05,0.0017231259,0.0016886004,0.0014148821,0.0010714583,0.0009211156,0.0008325112,0.21159486,0.2657162,0.29717183,0.44956267,0.46654025,0.6497706,0.96439165,0.9836599,0.016848395,0.035004303,-0.05563139,0.11058646,0.13799532,0.29443762,-0.1498832,0.001389901,1.0170963,1.1459833,0.96511227,1.0831108,0.9156113,1.0303724,0.96642995,0.019457238,0.04327866,0.20812553,-0.068061315,1.0566608,0.9913094,0.9648069,210,663
0.2341135,0.46830216,0.60854024,0.9724202,0.029562403,0.007947368,0.19489564,-0.06112116,0.9949766,1.0232221,1.0050912,0.00015787919,0.00692273,7.184033e-05,7.605932e-05,0.0015647993,0.0016187768,0.0014264012,0.00088744663,0.0010099066,0.00083734177,0.21184063,0.26014742,0.34056064,0.6333724,0.5280479,0.6899042,0.96256524,0.9933742,0.013920678,0.048661273,-0.068668835,0.08772577,0.118875764,0.27899328,-0.13892487,0.01419877,0.9369304,1.050375,0.961421,1.0902569,0.9483232,1.0647575,0.96561337,0.020562839,-0.008788689,0.20361225,-0.062366724,0.97517943,1.0347041,0.99421906,210,663
0.22341534,0.56332195,0.63642275,0.9823386,0.04114029,-0.07623703,0.17417149,-0.10001168,0.9864274,1.0406705,1.014172,0.00011312771,0.008231314,5.836353e-05,4.166491e-05,0.0014756974,0.0018202189,0.0016811988,0.0008351567,0.0009688454,0.0008470986,0.20589614,0.24756777,0.42372343,0.74795353,0.56373066,0.71827054,0.96729636,0.9944323,0.028915122,0.05372634,-0.15187907,0.0017055782,0.094540015,0.26228684,-0.18571115,-0.020372506,0.9302502,1.0399716,0.97768754,1.1015718,0.9602764,1.0739294,0.96440834,0.02190187,-0.09010877,0.1751612,-0.1049233,1.0010015,1.0224351,1.0096021,210,663
0.25270855,0.7156643,0.5813879,0.9725389,0.038884677,-0.051173892,0.15476958,-0.13490073,1.0484635,0.9998978,0.98404056,0.00012977007,0.009677296,7.954768e-05,5.852499e-05,0.0017499705,0.0016200354,0.0015628234,0.0008924586,0.00087864045,0.0009243738,0.23175101,0.2781407,0.5590542,0.9312655,0.501325,0.6557269,0.9582858,0.9923834,0.024816513,0.05371001,-0.13053404,0.029824883,0.07694157,0.23260391,-0.20994253,-0.05889738,0.9914198,1.1095424,0.9434706,1.0594409,0.92623097,1.0448627,0.96531016,0.020458354,-0.05154007,0.15912808,-0.13848382,1.0240144,0.9880653,0.97648466,210,663
0.22261754,0.4420392,0.5903069,0.9748617,0.03005432,0.037664324,0.24516927,-0.088194236,0.99954504,0.9958347,1.0191417,0.000115281924,0.009150822,4.0667925e-05,4.3246197e-05,0.0016825505,0.0016350779,0.0016485011,0.00094332255,0.0009728164,0.00091986376,0.20238246,0.2432492,0.30374676,0.62822133,0.5078984,0.67882395,0.96588576,0.9902092,0.019848904,0.04444341,-0.03764744,0.122205436,0.16350584,0.32521358,-0.1641615,-0.006662556,0.94012016,1.0599532,0.9424808,1.0601677,0.96228874,1.0780098,0.9657001,0.020481285,0.031300016,0.25724274,-0.08156196,0.9882931,0.976059,1.0043713,210,663
0.22732921,0.41301557,0.5592284,0.96491,0.01849246,0.041673113,0.20977934,-0.11659811,0.9943355,1.0387893,1.0089575,0.00026613893,0.004322455,6.1125374e-06,9.761209e-06,0.0016248036,0.0016911491,0.0015718275,0.0009088879,0.0009211754,0.00084835524,0.20160967,0.26345804,0.2868352,0.560007,0.46594188,0.65032107,0.96090955,0.9708779,0.013838827,0.026526505,-0.034287848,0.1198729,0.13387099,0.28699687,-0.19607186,-0.037403572,0.9387542,1.0551499,0.9824512,1.0965909,0.9506432,1.0609326,0.9650894,0.020168068,0.030652197,0.20458984,-0.10865151,0.99280435,1.0235806,0.9952133,210,663
0.2450451,0.6576341,0.56230253,0.9722672,0.037065234,0.039439783,0.21485047,-0.16560167,1.0208094,1.0542076,1.0410701,0.0001871141,0.006482334,7.3780924e-05,4.238375e-05,0.0015767463,0.0017275581,0.0016408332,0.0009700119,0.0010739461,0.000954696,0.22047907,0.2728385,0.50913584,0.83584905,0.4781401,0.6504342,0.9595648,0.99049383,0.024670681,0.048782434,-0.03851844,0.1184863,0.13174291,0.29916283,-0.24577759,-0.08993663,0.95719504,1.0808346,0.9950781,1.1219186,0.9822652,1.1041303,0.9636814,0.020941041,0.038842686,0.21466959,-0.17182861,1.0113932,1.0309405,1.0271155,210,663
0.22590873,0.50859666,0.5216758,0.96782684,0.023445366,-0.0077162236,0.20903224,-0.049280167,1.0410897,0.9971522,0.982611,0.00011603346,0.005760399,4.4502627e-05,3.7818783e-05,0.0016622886,0.0015281766,0.0014004384,0.0010847988,0.00090810924,0.0007901237,0.20652033,0.2488156,0.37748042,0.6589603,0.42607138,0.60948575,0.96143264,0.9900295,0.016149107,0.042263642,-0.08870081,0.074436344,0.12860566,0.28428295,-0.12553856,0.025752485,0.97636724,1.106998,0.9405461,1.0577621,0.9301493,1.0421642,0.9640274,0.021255689,-0.006263966,0.21993844,-0.044627097,1.0204248,0.98992366,0.9885022,210,663
0.19551688,0.4857262,0.50238127,0.9702685,0.02328671,-0.043765668,0.2152472,-0.16020046,0.9853159,1.0191511,1.0136471,0.00012475712,0.0047003482,1.9167044e-05,2.8933075e-05,0.0015213717,0.0016504335,0.0016347081,0.00087284803,0.00096972723,0.00086944853,0.17627695,0.2180085,0.38654417,0.6569044,0.404668,0.58455604,0.9640781,0.9810011,0.0147099355,0.034978244,-0.12339713,0.03382022,0.13543677,0.29728085,-0.239118,-0.081232294,0.9293284,1.0472662,0.96227187,1.0822507,0.96006876,1.0740862,0.9647834,0.01943772,-0.0544125,0.20114617,-0.1585993,0.97800446,1.0140159,1.0183818,210,663
