IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
944548,0.8264015,0.07907064,-0.0012701695,0.15523702,0.11724003,0.025504135
953958,0.9076812,0.12822066,0.10118389,0.59865844,0.45776668,0.04988383
954010,0.8637035,0.11571834,-0.122188985,0.37839273,0.2617249,0.043172438
954564,0.90706843,0.113037646,-0.001395464,0.5257665,0.43491584,0.041039266
954995,0.92270136,0.10928688,-0.75727606,0.6505826,0.5405548,0.044342156
955009,0.90253586,0.10219855,-1.058422,0.45781878,0.32995948,0.034573756
955021,0.8263716,0.08065599,0.41232768,0.106734,0.084246136,0.023287114
955023,0.91086,0.24067728,0.739085,0.79716915,0.6372447,0.089190476
955077,0.8657409,0.13752133,-0.94129676,0.36257502,0.3138686,0.047635566
955083,0.844755,0.14168334,-0.7413239,0.24906804,0.19756053,0.047283478
955102,0.91414523,0.11520244,1.8117822,0.4477307,0.39004648,0.03741603
955119,0.87915486,0.08983434,0.67827636,0.3442185,0.28823736,0.029071432
955240,0.85681045,0.10269577,-0.6960457,0.28855115,0.25256824,0.03892318
955276,0.8661845,0.12752752,-0.11169114,0.345973,0.23685841,0.046720266
955303,0.8453016,0.09972323,-0.3720994,0.23717707,0.20160826,0.039338402
955342,0.86921597,0.1444705,-0.40460554,0.38693938,0.2920973,0.05411447
955383,0.88435453,0.13405107,-1.4300425,0.37758014,0.30477315,0.04336458
955683,0.93036,0.17959805,-1.0025291,0.7997748,0.681777,0.0661252
955984,0.8737891,0.17266962,-0.17203052,0.46016368,0.34832707,0.054931868
956021,0.8524357,0.12535888,-0.40298793,0.32936147,0.24161258,0.050373714
956352,0.83583426,0.088756286,0.24648204,0.2061124,0.15470882,0.036659986
956553,0.8393025,0.09720527,-0.7112531,0.23324217,0.15844728,0.029407814
956843,0.8692677,0.09429276,-0.9193035,0.29943523,0.23932427,0.033574477
956927,0.84864104,0.0981044,0.062078524,0.2372578,0.19120507,0.03404571
956993,0.827578,0.076109506,-0.035197288,0.15309218,0.12343689,0.030009715
957089,0.8643497,0.11915193,-0.08061957,0.36595112,0.2802049,0.042643182
957126,0.868623,0.098944485,-0.46024966,0.31965223,0.2655438,0.035930138
957158,0.83313376,0.07049895,-0.00034919224,0.18567614,0.15893073,0.024341743
957167,0.87917626,0.24637824,-1.2346087,0.5087977,0.42183846,0.082637474
957953,0.83892226,0.08074015,-0.142891,0.21001421,0.17712066,0.030730171
958100,0.8435215,0.09803082,0.13987012,0.19136198,0.15146959,0.023695858
958257,0.84912103,0.096566156,0.118845135,0.25632566,0.19589604,0.03671864
958360,0.89908254,0.13847153,-1.2666678,0.4476034,0.3755292,0.048523065
958541,0.8466131,0.112724,0.122985125,0.26058507,0.22012886,0.035532072
958563,0.91941327,0.10757383,-0.3895161,0.61670196,0.4618478,0.04304532
958577,0.8312682,0.067728885,0.1875826,0.15566742,0.12708694,0.023734342
958619,0.9095722,0.10956521,-0.47069564,0.53788745,0.44263062,0.045087077
958771,0.92484874,0.1305745,-0.98096645,0.6951219,0.5503317,0.0536569
959130,0.8277592,0.092735164,-0.57032317,0.14897902,0.12915003,0.02380277
959386,0.86549264,0.3418962,-0.6645326,0.6692168,0.5333645,0.11807569
959561,0.8352895,0.10565188,-0.09564656,0.2185684,0.15904185,0.039539106
959708,0.87366635,0.106732264,-1.4841374,0.338066,0.27639142,0.036007598
960758,0.8521997,0.121905506,-0.09547571,0.31132016,0.2338405,0.047313426
960817,0.83362037,0.08341052,0.07573429,0.14411278,0.11653215,0.022295063
961191,0.8404028,0.07785219,-0.4534637,0.22459686,0.17278051,0.031557027
961534,0.8555106,0.09015274,-0.8087216,0.22872129,0.1807719,0.033494096
961560,0.822685,0.070336886,0.8954821,0.12754111,0.10781424,0.023648346
961864,0.86165935,0.09978753,-0.9542159,0.2568275,0.21686667,0.030419795
963283,0.8404009,0.09029486,-0.2983806,0.20035881,0.14732139,0.0301233
