subj,Age,Sex,trial,resp,evidence,Confidence,criterion_fluctuations
1235178,31,1,1,0,-1.0,5,1.921617
1235178,31,1,2,1,-0.625,5,1.9523611
1235178,31,1,3,1,-0.25,5,1.9376462
1235178,31,1,4,1,0.25,5,1.9036225
1235178,31,1,5,1,0.625,5,1.8751022
1235178,31,1,6,1,-0.625,5,1.8500826
1235178,31,1,7,1,0.375,5,1.7801145
1235178,31,1,8,1,-0.125,5,1.714134
1235178,31,1,9,1,0.875,5,1.6290404
1235178,31,1,10,1,0.75,5,1.5484496
1235178,31,1,11,0,-0.875,3,1.4757686
1235178,31,1,12,1,0.125,4,1.4298445
1235178,31,1,13,1,0.5,4,1.3664916
1235178,31,1,14,0,-0.375,4,1.3012273
1235178,31,1,15,1,0.75,4,1.2971917
1235178,31,1,16,1,0.5,5,1.2902775
1235178,31,1,17,1,0.0,5,1.2758852
1235178,31,1,18,0,1.0,4,1.2354192
1235178,31,1,19,1,0.125,4,1.2983378
1235178,31,1,20,1,0.25,4,1.351414
1235178,31,1,21,1,0.375,4,1.3962234
1235178,31,1,22,1,-0.125,4,1.4353532
1235178,31,1,23,1,0.0,4,1.4582604
1235178,31,1,24,1,0.375,4,1.446528
1235178,31,1,25,0,-1.0,4,1.4353592
1235178,31,1,26,1,0.125,4,1.4637148
1235178,31,1,27,1,0.5,4,1.4714388
1235178,31,1,28,1,-0.375,4,1.4763942
1235178,31,1,29,1,0.875,5,1.4319401
1235178,31,1,30,1,-0.125,5,1.3996263
1235178,31,1,31,0,0.125,4,1.3445171
1235178,31,1,32,1,0.375,5,1.3826095
1235178,31,1,33,0,-0.625,5,1.416357
1235178,31,1,34,1,-0.75,5,1.4893932
1235178,31,1,35,1,0.625,5,1.4967145
1235178,31,1,36,1,-0.25,5,1.5043333
1235178,31,1,37,1,-0.125,5,1.4918464
1235178,31,1,38,1,-0.5,5,1.4506061
1235178,31,1,39,0,0.625,4,1.3624663
1235178,31,1,40,1,-0.375,5,1.3856392
1235178,31,1,41,0,-0.5,4,1.358945
1235178,31,1,42,1,0.875,5,1.3872308
1235178,31,1,43,1,0.25,5,1.4128476
1235178,31,1,44,1,1.0,6,1.4290696
1235178,31,1,45,1,0.5,6,1.4531848
1235178,31,1,46,1,-0.5,5,1.4810975
1235178,31,1,47,1,-0.375,4,1.4532746
1235178,31,1,48,1,1.0,6,1.3959899
1235178,31,1,49,1,0.0,6,1.3364362
1235178,31,1,50,1,0.75,6,1.2585967
1235178,31,1,51,1,-0.25,5,1.1798786
1235178,31,1,52,0,-0.75,6,1.0512779
1235178,31,1,53,0,-0.875,6,0.9541424
