IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
1235178,0.8986834,0.102907866,1.1627731,0.3450566,0.2944277,0.037305713
1235180,0.9030098,0.18858151,0.5786915,0.6225659,0.4830199,0.082266994
1235181,0.9289405,0.17510866,-0.12865992,1.0363141,0.81122327,0.057435382
1235182,0.8980439,0.12710637,0.761291,0.35570818,0.2880434,0.04834452
1235183,0.89297646,0.086673014,-0.6704507,0.26189294,0.18617266,0.032832097
1235184,0.9001644,0.12680364,-0.30725434,0.433893,0.36922848,0.054098964
1235185,0.9104149,0.090654716,-0.22147223,0.49529192,0.41229936,0.038312122
1235186,0.91203415,0.10248061,-0.47621083,0.58234227,0.4517548,0.044415724
1235187,0.8991323,0.08173275,0.82729715,0.31923774,0.24793978,0.035955448
1235188,0.88819516,0.13042957,-0.12467381,0.28078833,0.2253234,0.05077251
1235189,0.8990216,0.11487142,-1.1928866,0.34271577,0.25362563,0.046606615
1235190,0.89072865,0.06371709,0.029171707,0.21107526,0.17317952,0.025784208
1235191,0.8969783,0.09478184,-0.53169376,0.33704323,0.2636261,0.042524662
1235192,0.9049074,0.1417896,-1.3289297,0.39184883,0.2905191,0.049994238
1235193,0.89083916,0.06899823,-1.0157824,0.09408939,0.07053918,0.019855926
1235194,0.9112834,0.14054503,-0.03507091,0.5717629,0.5040549,0.05299059
1235195,0.8917471,0.11209543,0.13297932,0.4035918,0.29995435,0.05035999
1235196,0.9132707,0.1076211,-1.8913641,0.3022761,0.24225597,0.03341453
1235197,0.8879888,0.0628664,0.5144657,0.13079579,0.10081529,0.023988664
1235198,0.92723984,0.20022583,-0.56821567,0.96187335,0.84702355,0.07784312
1235199,0.9019493,0.10730494,0.00664887,0.40791872,0.35259882,0.04394402
1235200,0.8972565,0.12288664,0.27892074,0.37248188,0.28878856,0.04912077
1235201,0.90144193,0.10596671,0.046237197,0.38760114,0.32288793,0.03640063
1235202,0.8935689,0.060767706,0.59838235,0.30469993,0.21817759,0.029970933
1235203,0.9005314,0.08005754,-1.2963861,0.25968054,0.2207413,0.028295228
1235205,0.91427815,0.09971996,0.34566855,0.5815046,0.49711305,0.039682437
1235206,0.9005795,0.076116025,-0.6541083,0.3357233,0.2829982,0.024176352
1235207,0.91265607,0.12953208,0.9159769,0.57734287,0.4682572,0.05350287
1235210,0.88992274,0.07877162,0.12922032,0.21889627,0.17656991,0.0320757
1235211,0.8991396,0.15181269,-0.43252882,0.4154359,0.34547165,0.060497057
1235212,0.9026649,0.10794287,0.72960496,0.34773767,0.28753415,0.038557652
1235213,0.89730513,0.09551357,-0.853781,0.26057073,0.24155937,0.03336606
1235214,0.90100974,0.14424859,-0.31163722,0.4891599,0.3825922,0.06119073
1235215,0.9098664,0.12883826,0.6045318,0.5610105,0.48100102,0.056553926
