subj,Age,Sex,trial,resp,evidence,Confidence,criterion_fluctuations
944548,21,0,1,0,24,4,-0.56232595
944548,21,0,2,0,-24,4,-0.49729496
944548,21,0,3,1,32,4,-0.43102774
944548,21,0,4,1,16,3,-0.3833586
944548,21,0,5,0,40,3,-0.36699995
944548,21,0,6,1,48,4,-0.30231348
944548,21,0,7,0,-56,4,-0.24570821
944548,21,0,8,1,40,4,-0.19691004
944548,21,0,9,1,56,4,-0.15137257
944548,21,0,10,1,24,4,-0.109232575
944548,21,0,11,0,-48,4,-0.081165686
944548,21,0,12,0,16,4,-0.052079793
944548,21,0,13,1,-24,4,0.02339737
944548,21,0,15,1,24,3,0.050417766
944548,21,0,16,1,56,4,0.0715692
944548,21,0,18,1,8,3,0.08317397
944548,21,0,19,0,-48,4,0.0773687
944548,21,0,20,1,32,4,0.07980769
944548,21,0,21,1,64,4,0.07404421
944548,21,0,22,0,-32,4,0.070362255
944548,21,0,23,0,-64,4,0.07625394
944548,21,0,24,0,-32,4,0.086412534
944548,21,0,25,1,56,4,0.10266089
944548,21,0,26,0,-64,4,0.11978829
944548,21,0,27,1,48,4,0.14081407
944548,21,0,28,0,16,4,0.16117051
944548,21,0,29,1,-16,5,0.23017646
944548,21,0,30,0,-56,4,0.25719374
944548,21,0,31,1,-48,2,0.30116242
944548,21,0,32,0,-32,4,0.28955093
944548,21,0,33,0,-64,4,0.29091075
944548,21,0,34,1,-16,3,0.30499732
944548,21,0,35,1,8,4,0.28315943
944548,21,0,36,1,16,3,0.24745241
944548,21,0,38,1,40,4,0.20454684
944548,21,0,39,1,64,5,0.16278529
944548,21,0,40,1,64,4,0.11809036
944548,21,0,41,0,-8,4,0.06875787
944548,21,0,42,1,48,4,0.04817045
944548,21,0,43,0,-40,5,0.027512446
944548,21,0,44,0,24,3,0.013191499
944548,21,0,45,1,-16,3,0.050854232
944548,21,0,46,0,-48,4,0.04163187
944548,21,0,47,1,-8,4,0.0446899
944548,21,0,48,0,-8,4,0.0036207389
944548,21,0,49,1,56,4,-0.0055225887
944548,21,0,50,0,-56,4,-0.02166894
944548,21,0,51,1,32,4,-0.031210009
944548,21,0,52,1,64,4,-0.050964452
944548,21,0,53,0,-40,4,-0.074476294
944548,21,0,54,0,-32,5,-0.094015755
944548,21,0,55,0,-56,4,-0.107591055
944548,21,0,56,0,-24,4,-0.1144099
944548,21,0,57,1,48,5,-0.11011255
944548,21,0,58,0,-64,5,-0.113112375
944548,21,0,60,0,-40,3,-0.114201844
944548,21,0,61,0,-16,4,-0.11855461
944548,21,0,62,1,8,4,-0.10814954
944548,21,0,63,0,-8,4,-0.11910836
944548,21,0,64,1,40,4,-0.1097195
944548,21,0,65,1,32,4,-0.107800335
944548,21,0,66,0,-40,4,-0.11969916
944548,21,0,67,1,8,4,-0.12072142
944548,21,0,68,0,-24,3,-0.15326151
944548,21,0,69,0,-32,4,-0.17491296
944548,21,0,70,1,8,4,-0.18703051
944548,21,0,71,1,32,4,-0.22373825
944548,21,0,72,0,-64,4,-0.27547035
944548,21,0,73,0,-48,4,-0.332046
944548,21,0,74,0,40,4,-0.39172098
944548,21,0,75,0,24,4,-0.40010172
944548,21,0,76,0,-16,5,-0.37261397
944548,21,0,77,1,8,5,-0.33720183
944548,21,0,78,0,-48,5,-0.33378476
944548,21,0,80,0,-40,4,-0.33099845
944548,21,0,81,1,64,4,-0.3257347
944548,21,0,82,0,16,2,-0.32670727
944548,21,0,83,1,48,4,-0.2927364
944548,21,0,84,1,48,4,-0.27279693
944548,21,0,85,1,24,4,-0.25676623
944548,21,0,86,0,8,3,-0.26063332
944548,21,0,87,1,32,4,-0.23291323
944548,21,0,88,0,-56,4,-0.2195569
944548,21,0,89,0,-32,4,-0.20212016
944548,21,0,90,1,64,4,-0.1836289
944548,21,0,91,0,-64,5,-0.1672928
944548,21,0,92,0,-40,4,-0.14940235
944548,21,0,93,0,-64,4,-0.12556125
944548,21,0,94,0,-24,4,-0.098410726
944548,21,0,95,0,-64,4,-0.06426485
944548,21,0,96,1,24,5,-0.025677582
944548,21,0,98,1,64,4,-0.005776695
944548,21,0,99,1,32,4,0.016699776
944548,21,0,100,0,-32,3,0.034509797
944548,21,0,101,1,64,4,0.05789609
944548,21,0,102,1,32,4,0.08241881
944548,21,0,103,0,-24,4,0.09856882
944548,21,0,104,1,-8,4,0.14393215
944548,21,0,105,1,-56,2,0.15781608
944548,21,0,106,1,56,4,0.10856606
944548,21,0,107,0,-48,4,0.059963826
944548,21,0,108,0,-56,4,0.01654218
944548,21,0,109,0,-8,5,-0.027688809
944548,21,0,110,0,-48,4,-0.03777961
944548,21,0,111,1,16,4,-0.04616175
944548,21,0,112,0,-8,4,-0.0681894
944548,21,0,113,1,-24,1,-0.07434638
944548,21,0,114,0,8,3,-0.12923452
944548,21,0,115,1,48,4,-0.14566277
944548,21,0,116,0,40,1,-0.1746462
944548,21,0,118,0,-56,4,-0.14469425
944548,21,0,119,0,-16,3,-0.11260227
944548,21,0,120,1,16,4,-0.0722739
944548,21,0,121,0,-24,3,-0.051845618
944548,21,0,122,1,-8,4,-0.021449467
944548,21,0,123,0,-40,2,-0.019343544
944548,21,0,124,1,24,3,-0.017569242
944548,21,0,125,1,56,3,-0.02452767
944548,21,0,126,0,-32,1,-0.033995543
944548,21,0,127,0,-40,3,-0.034767907
944548,21,0,128,1,40,5,-0.035412535
944548,21,0,130,1,56,4,-0.039780963
944548,21,0,131,1,48,3,-0.04643278
944548,21,0,132,0,-16,4,-0.053761292
944548,21,0,133,1,40,4,-0.039714754
944548,21,0,134,1,56,4,-0.03711764
944548,21,0,135,1,16,4,-0.035587072
944548,21,0,136,0,-16,2,-0.05219698
953958,21,0,1,1,-64,4,1.3407204
953958,21,0,2,0,24,4,1.2781951
953958,21,0,3,1,-48,3,1.3219059
953958,21,0,4,0,-40,5,1.2949826
953958,21,0,5,1,-32,4,1.3243942
953958,21,0,6,1,16,6,1.3078372
953958,21,0,7,1,-56,4,1.2973793
953958,21,0,8,0,-24,3,1.2189738
953958,21,0,9,1,-8,4,1.2190236
953958,21,0,11,1,48,5,1.1908958
953958,21,0,12,1,-56,5,1.1735469
953958,21,0,13,1,8,5,1.098669
953958,21,0,15,1,8,4,1.0079137
953958,21,0,16,1,64,4,0.89960027
953958,21,0,17,1,8,4,0.7965059
953958,21,0,18,0,16,3,0.6731578
953958,21,0,19,1,64,4,0.6235326
953958,21,0,20,0,-40,3,0.5726568
953958,21,0,21,1,40,4,0.5587937
953958,21,0,22,1,56,5,0.5366987
953958,21,0,23,1,32,5,0.5115466
953958,21,0,24,0,-40,4,0.4665941
953958,21,0,25,1,8,4,0.45210654
953958,21,0,26,1,56,3,0.4113498
953958,21,0,27,0,-16,3,0.35804883
953958,21,0,28,1,48,4,0.3540843
953958,21,0,29,1,24,4,0.342626
953958,21,0,30,1,48,5,0.31846586
953958,21,0,31,1,64,5,0.2778846
953958,21,0,32,1,40,3,0.2335616
953958,21,0,33,1,40,3,0.17792721
953958,21,0,34,0,-56,5,0.1120784
953958,21,0,35,0,-48,5,0.05544475
953958,21,0,36,1,32,3,0.010452331
953958,21,0,37,0,16,4,-0.063475385
953958,21,0,38,0,-24,5,-0.0782599
953958,21,0,39,0,40,4,-0.070443794
953958,21,0,40,1,56,6,0.012605646
953958,21,0,41,1,32,4,0.08174211
953958,21,0,42,1,-48,4,0.13323538
953958,21,0,43,0,-8,3,0.09968906
953958,21,0,44,1,-8,4,0.10957481
953958,21,0,45,0,-64,5,0.05876067
953958,21,0,46,0,-40,2,0.017801266
953958,21,0,47,1,16,4,-0.0064006723
953958,21,0,48,0,-64,4,-0.060148366
953958,21,0,50,0,-32,4,-0.1133994
953958,21,0,51,0,-16,4,-0.14861716
953958,21,0,53,0,-48,4,-0.15563099
953958,21,0,54,0,-16,4,-0.16289087
953958,21,0,55,0,-64,5,-0.14263088
953958,21,0,56,0,-24,4,-0.112637654
953958,21,0,57,1,24,5,-0.065702006
953958,21,0,58,0,-32,4,-0.05381964
953958,21,0,59,0,-8,3,-0.020000696
953958,21,0,60,1,32,4,0.045307007
953958,21,0,61,1,24,4,0.09345121
953958,21,0,62,0,-24,4,0.11163405
953958,21,0,63,0,-32,4,0.1653267
953958,21,0,64,1,48,4,0.24405615
953958,21,0,65,1,64,6,0.30879688
953958,21,0,66,1,56,4,0.37488976
953958,21,0,67,1,-16,4,0.44333187
953958,21,0,68,0,-56,5,0.45070744
953958,21,0,69,0,-56,4,0.48402327
953958,21,0,70,1,-24,4,0.53170156
953958,21,0,71,0,-24,4,0.54111093
953958,21,0,72,1,-56,4,0.59294546
953958,21,0,73,1,8,4,0.57024527
953958,21,0,74,0,-64,4,0.53100216
953958,21,0,75,1,24,4,0.50082976
953958,21,0,76,1,56,5,0.45325553
953958,21,0,77,1,40,5,0.39945695
953958,21,0,80,0,-64,4,0.3484936
953958,21,0,81,1,32,5,0.30245227
953958,21,0,83,0,-32,4,0.2417224
953958,21,0,84,0,-8,4,0.20131339
953958,21,0,85,0,-32,4,0.21409188
953958,21,0,86,1,48,4,0.26054168
953958,21,0,87,1,32,5,0.29891503
953958,21,0,88,1,64,5,0.30865917
953958,21,0,89,0,-40,4,0.3258222
953958,21,0,90,1,16,4,0.37011382
953958,21,0,91,1,-8,4,0.3881197
953958,21,0,92,0,-40,5,0.35813746
953958,21,0,93,1,-16,4,0.36129293
953958,21,0,94,1,56,4,0.30652466
953958,21,0,95,1,32,4,0.24174337
953958,21,0,96,0,-64,4,0.17083484
953958,21,0,97,0,16,5,0.1073999
953958,21,0,98,1,16,4,0.11254314
953958,21,0,99,1,56,4,0.08728993
953958,21,0,100,1,40,3,0.058486756
953958,21,0,101,1,16,3,0.015140181
953958,21,0,102,0,-24,4,-0.06359896
953958,21,0,103,0,-64,5,-0.12522113
953958,21,0,104,0,-40,5,-0.1789779
953958,21,0,105,0,-32,5,-0.2201239
953958,21,0,106,0,-16,4,-0.25157344
953958,21,0,107,1,48,5,-0.2512811
953958,21,0,108,0,-16,4,-0.28251368
953958,21,0,109,0,-56,4,-0.271663
953958,21,0,110,1,48,4,-0.25778258
953958,21,0,111,1,-16,3,-0.27106312
953958,21,0,112,0,-32,3,-0.3538424
953958,21,0,113,1,24,4,-0.42199773
953958,21,0,114,0,-56,4,-0.5376304
953958,21,0,115,0,24,4,-0.64641434
953958,21,0,116,0,8,3,-0.70485723
953958,21,0,117,1,48,4,-0.7341371
953958,21,0,118,0,64,2,-0.80494165
953958,21,0,119,0,-48,3,-0.7995203
953958,21,0,120,0,8,4,-0.7929345
953958,21,0,121,0,-40,4,-0.76548797
953958,21,0,122,1,32,4,-0.7371632
953958,21,0,123,0,24,4,-0.76176983
953958,21,0,124,0,-8,5,-0.73352504
953958,21,0,125,1,56,4,-0.6892433
953958,21,0,126,0,-48,5,-0.6684502
953958,21,0,127,1,64,5,-0.651547
953958,21,0,128,0,-48,4,-0.65231586
953958,21,0,129,0,40,3,-0.6490161
953958,21,0,130,0,-48,6,-0.5839847
953958,21,0,131,0,40,3,-0.5145969
953958,21,0,132,1,8,4,-0.37949535
953958,21,0,133,1,-24,3,-0.30544278
953958,21,0,134,0,-8,3,-0.30896
953958,21,0,136,1,64,4,-0.27035806
954010,22,0,1,0,-56,1,-1.4908493
954010,22,0,2,0,-56,6,-1.433561
954010,22,0,3,0,64,5,-1.3992882
954010,22,0,4,0,24,4,-1.3334005
954010,22,0,5,0,-24,5,-1.2461066
954010,22,0,6,0,56,5,-1.1724734
954010,22,0,7,0,32,4,-1.0561321
954010,22,0,9,0,-40,5,-0.92388636
954010,22,0,10,1,40,3,-0.78927946
954010,22,0,11,1,16,5,-0.6883095
954010,22,0,12,1,40,4,-0.6157194
954010,22,0,13,1,8,5,-0.56033885
954010,22,0,14,0,8,3,-0.5429171
954010,22,0,15,1,32,5,-0.5001647
954010,22,0,16,1,64,6,-0.47804508
954010,22,0,17,0,-56,2,-0.45830154
954010,22,0,18,0,-40,6,-0.44348672
954010,22,0,19,1,32,6,-0.42745385
954010,22,0,20,0,-64,6,-0.43256587
954010,22,0,21,0,8,4,-0.43682796
954010,22,0,22,0,48,3,-0.42047033
954010,22,0,23,0,-16,5,-0.34955993
954010,22,0,24,1,-32,5,-0.26472333
954010,22,0,25,0,-48,5,-0.23886551
954010,22,0,26,0,-8,1,-0.20163271
954010,22,0,27,1,-8,3,-0.14076544
954010,22,0,28,0,-56,5,-0.11975682
954010,22,0,29,1,-24,5,-0.09775131
954010,22,0,30,0,16,4,-0.11612626
954010,22,0,31,1,40,4,-0.09611495
954010,22,0,32,1,56,6,-0.07946313
954010,22,0,33,1,56,6,-0.073014446
954010,22,0,34,1,64,6,-0.063452914
954010,22,0,35,0,-48,3,-0.05956818
954010,22,0,36,1,-40,4,-0.05055088
954010,22,0,37,0,-16,4,-0.09208156
954010,22,0,38,1,40,6,-0.11323311
954010,22,0,39,0,-40,2,-0.13907273
954010,22,0,40,0,-32,5,-0.15936095
954010,22,0,42,0,8,5,-0.17130993
954010,22,0,43,1,24,2,-0.15166844
954010,22,0,44,0,-48,5,-0.14980553
954010,22,0,46,0,-8,6,-0.1475172
954010,22,0,47,0,-8,5,-0.11555654
954010,22,0,48,1,16,6,-0.0636101
954010,22,0,49,1,48,6,-0.035577536
954010,22,0,50,1,24,6,-0.01351905
954010,22,0,51,0,-48,5,-0.007954414
954010,22,0,52,1,32,6,0.00925098
954010,22,0,54,1,64,5,0.01436133
954010,22,0,55,1,16,5,0.012955428
954010,22,0,56,1,48,6,0.0033850993
954010,22,0,57,0,-64,6,-0.013838211
954010,22,0,58,1,56,6,-0.03004267
954010,22,0,59,0,-24,3,-0.048319865
954010,22,0,60,1,24,6,-0.043633595
954010,22,0,61,0,-16,6,-0.06152393
954010,22,0,62,1,-32,2,-0.060694467
954010,22,0,63,0,-32,6,-0.10702656
954010,22,0,64,0,-24,6,-0.13977288
954010,22,0,65,0,-64,6,-0.16356319
954010,22,0,66,0,-16,6,-0.18237591
954010,22,0,67,0,-64,6,-0.18715349
954010,22,0,68,1,48,6,-0.19088157
954010,22,0,69,1,48,6,-0.20077592
954010,22,0,70,0,-8,4,-0.21680202
954010,22,0,71,1,24,6,-0.21812324
954010,22,0,72,0,-56,6,-0.24046277
954010,22,0,73,0,16,4,-0.2559466
954010,22,0,74,0,-40,5,-0.23365606
954010,22,0,75,1,8,6,-0.21019228
954010,22,0,76,0,-32,5,-0.21804276
954010,22,0,77,0,-8,6,-0.21760277
