mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.24781354,0.4015055,0.56245637,0.97964615,0.037971612,-0.09982984,0.19980784,-0.1082198,0.93635696,1.0269864,0.9385982,0.0004903108,0.005513625,7.765628e-05,5.0391558e-05,0.002806668,0.003339164,0.0031338083,0.0015414923,0.002002441,0.0017021765,0.20601173,0.29063082,0.2807303,0.55355775,0.4135132,0.7126719,0.9621998,0.99423945,0.025166938,0.050594676,-0.20020722,0.0021267026,0.08976945,0.3066431,-0.21766314,-0.0027130053,0.8586686,1.0152198,0.9464852,1.1199588,0.8606907,1.0264257,0.96346223,0.021090249,-0.10719621,0.19294144,-0.11508051,0.94322944,1.0110343,0.9317083,144,344
0.2374655,0.37700558,0.50482863,0.9777735,0.031913035,0.108531915,0.20836985,-0.04220368,1.0451531,0.9822736,0.93554044,0.00036879582,0.005666466,6.602612e-05,4.5490597e-05,0.003233988,0.0031220557,0.0025522339,0.002072837,0.001762395,0.0016648677,0.20340365,0.27709338,0.26088658,0.521276,0.39099574,0.6339181,0.9647276,0.99360687,0.015949523,0.043936368,-0.0045872102,0.22163378,0.09554883,0.31533352,-0.14611262,0.058269583,0.9638499,1.1390353,0.90182984,1.0659928,0.8567605,1.018675,0.96611464,0.019178586,0.113574386,0.2027921,-0.039097585,1.0468179,0.97638875,0.95405644,144,344
0.30879354,0.2737039,0.5016902,0.9819263,0.03471956,-0.07966919,0.15919554,-0.04317531,1.0300521,1.0533876,1.0625354,0.0012436104,0.0028410344,6.199749e-05,7.0284616e-05,0.0033340962,0.003359501,0.003094947,0.0021722412,0.0021585552,0.0020004131,0.246766,0.3928265,0.19006684,0.39121926,0.37206346,0.63601947,0.9677422,0.99443537,0.017635562,0.049520288,-0.19117872,0.036826737,0.046377808,0.2766579,-0.15532126,0.06723865,0.94142765,1.125089,0.96211964,1.154112,0.9795887,1.1570972,0.9657292,0.020374669,-0.08133043,0.18241335,-0.03439543,0.98162585,1.0240633,1.0083765,144,344
0.29234785,0.37193617,0.63756746,0.96861285,0.028226541,-0.08382903,0.23697042,-0.14220126,0.9675644,1.0238615,1.0202891,0.0005981334,0.0060862764,7.2888266e-05,0.00010005352,0.0028309454,0.0033645122,0.0034078308,0.0018080721,0.0019255189,0.0018323618,0.2505869,0.34556052,0.2437436,0.5375398,0.5242676,0.7624623,0.9578716,0.9902873,0.015098546,0.051659092,-0.1902683,0.019692149,0.1281205,0.35303384,-0.26118124,-0.022703469,0.88654715,1.0486677,0.94117373,1.1138576,0.9462289,1.1093612,0.9653769,0.020897651,-0.074511304,0.22632521,-0.15334693,0.9722764,0.98548394,1.0188297,144,344
0.2926399,0.59990454,0.5901881,0.9789159,0.04334869,-0.09538715,0.18390103,-0.09051843,1.0661243,1.0267442,1.0106163,0.000493783,0.008957974,0.00010258905,5.734115e-05,0.0035670758,0.0033766602,0.003281493,0.0018797055,0.0019744595,0.0018954397,0.25505584,0.33954144,0.39497802,0.7716323,0.4589288,0.7130092,0.9572581,0.99423265,0.026633812,0.05678071,-0.21064727,0.019080808,0.07040178,0.29499966,-0.20553735,0.021776788,0.9827351,1.151617,0.9445736,1.1164173,0.93109334,1.0985173,0.9662685,0.019571746,-0.08802123,0.16126895,-0.09050093,1.0349181,0.99261177,0.98496807,144,344
0.29215115,0.41654518,0.63229847,0.9656466,0.027661089,0.05222886,0.26148114,-0.088598765,1.0323879,1.0388968,1.0141082,0.00057410245,0.0071925493,3.3098986e-05,4.813614e-05,0.0034923698,0.0034801061,0.0032284046,0.0020634176,0.002252494,0.00174283,0.25091928,0.34487054,0.28943798,0.60242367,0.51005566,0.7500368,0.95694125,0.97984225,0.016820986,0.043499,-0.063178375,0.17196265,0.1431509,0.3757928,-0.192831,0.02660944,0.945656,1.1231244,0.95469284,1.1381596,0.9364188,1.0993279,0.9657669,0.019539429,0.027848039,0.2585142,-0.08709557,1.0026703,0.98956084,0.9874522,144,344
0.22106768,0.45017716,0.6013517,0.97128916,0.02314205,-0.0067278626,0.21526195,-0.1040447,0.9905906,1.0647275,1.032959,0.00085298315,0.014324636,5.5331213e-05,5.5968452e-05,0.0032011904,0.0035607426,0.0032879477,0.0017370568,0.0020283656,0.001984739,0.18486252,0.29353905,0.22651127,0.694666,0.47908482,0.75401205,0.960883,0.98920345,0.012914179,0.040966213,-0.11572731,0.100613914,0.10242699,0.33251512,-0.22446677,0.009745317,0.91321075,1.0737237,0.98183304,1.1533538,0.94169337,1.1233547,0.96485645,0.020608027,-0.007647394,0.24458341,-0.09326165,0.99214303,1.0500863,1.0114775,144,344
0.285378,0.64277494,0.5456851,0.97095865,0.041797273,-0.024178784,0.18245725,-0.17200947,1.0314267,1.0505697,1.0530047,0.0006024696,0.022300348,0.000101774,6.4020314e-05,0.0031797034,0.003341891,0.003391213,0.0018724072,0.0021375509,0.0019364638,0.248297,0.3386605,0.43475324,0.97038853,0.42680398,0.673571,0.9554153,0.99210036,0.027923528,0.05869333,-0.12955405,0.09062235,0.071668245,0.29658052,-0.29347938,-0.061559305,0.9492686,1.1166328,0.9626942,1.1478896,0.9679638,1.1456549,0.96396077,0.020261021,-0.013092086,0.16779304,-0.1798065,1.0087981,1.0230223,1.0166974,144,344
0.22442713,0.34960523,0.45876345,0.97915787,0.02749978,0.012112986,0.2024654,-0.0016269442,1.023651,0.91070586,0.9831099,0.00075451256,0.012075918,5.0576702e-05,4.5189518e-05,0.0031667624,0.0025334521,0.0028203577,0.0021132545,0.001619893,0.0017151205,0.18252945,0.28810248,0.21878982,0.61749274,0.35182253,0.58328897,0.9679981,0.99327797,0.015843967,0.04127712,-0.09586616,0.1242553,0.10165808,0.30297375,-0.106477745,0.10658315,0.9374369,1.121411,0.83647215,0.9916281,0.90778863,1.0668962,0.96399313,0.021416882,-0.007334329,0.18792166,-0.0061337254,1.0501956,0.9413656,0.9792413,144,344
0.28770384,0.33287603,0.5197016,0.96841526,0.031423237,-0.05818214,0.18207368,-0.18660253,0.9644747,1.0074579,1.0123757,0.00093776325,0.0025841624,0.000107240354,0.00010594767,0.002944593,0.0032152566,0.0032546588,0.0017533795,0.0019728814,0.0018439051,0.24013259,0.35755402,0.2533864,0.44699746,0.4069963,0.64015937,0.9548507,0.99259275,0.011458152,0.051435243,-0.17416473,0.05093891,0.06776634,0.29098782,-0.29721054,-0.08087164,0.8846581,1.0517827,0.925186,1.0994413,0.9366296,1.1014266,0.9647568,0.02027604,-0.043285213,0.15583433,-0.19903184,0.97765636,1.0019166,1.019212,144,344
